nohup: ignoring input
4500000
(4500000, 1500)
('shape of sum array', (4500000,))
('shape of correlations', (1500, 4500000))
('sum of correlations, sum of row sums', 14300030, 14300030)
block_size_x=64, f_unroll=6, write_sums=1, tile_size_x=8, quadratic_difference_linear took: 106.551147461 ms.
block_size_x=64, f_unroll=6, write_sums=1, tile_size_x=16, quadratic_difference_linear took: 190.785058594 ms.
block_size_x=64, f_unroll=10, write_sums=1, tile_size_x=1, quadratic_difference_linear took: 134.858001709 ms.
block_size_x=64, f_unroll=10, write_sums=1, tile_size_x=2, quadratic_difference_linear took: 103.696690369 ms.
block_size_x=64, f_unroll=10, write_sums=1, tile_size_x=4, quadratic_difference_linear took: 85.3223876953 ms.
block_size_x=64, f_unroll=10, write_sums=1, tile_size_x=8, quadratic_difference_linear took: 109.428775024 ms.
block_size_x=64, f_unroll=10, write_sums=1, tile_size_x=16, quadratic_difference_linear took: 191.005490112 ms.
block_size_x=64, f_unroll=12, write_sums=1, tile_size_x=1, quadratic_difference_linear took: 133.464712524 ms.
block_size_x=64, f_unroll=12, write_sums=1, tile_size_x=2, quadratic_difference_linear took: 108.452593994 ms.
block_size_x=64, f_unroll=12, write_sums=1, tile_size_x=4, quadratic_difference_linear took: 88.974546814 ms.
block_size_x=64, f_unroll=12, write_sums=1, tile_size_x=8, quadratic_difference_linear took: 106.69488678 ms.
block_size_x=64, f_unroll=12, write_sums=1, tile_size_x=16, quadratic_difference_linear took: 265.389031982 ms.
block_size_x=64, f_unroll=15, write_sums=1, tile_size_x=1, quadratic_difference_linear took: 132.550021362 ms.
block_size_x=64, f_unroll=15, write_sums=1, tile_size_x=2, quadratic_difference_linear took: 119.394471741 ms.
block_size_x=64, f_unroll=15, write_sums=1, tile_size_x=4, quadratic_difference_linear took: 88.7855239868 ms.
block_size_x=64, f_unroll=15, write_sums=1, tile_size_x=8, quadratic_difference_linear took: 106.838752747 ms.
block_size_x=64, f_unroll=15, write_sums=1, tile_size_x=16, quadratic_difference_linear took: 276.585540771 ms.
block_size_x=96, f_unroll=1, write_sums=1, tile_size_x=1, quadratic_difference_linear took: 98.1070465088 ms.
block_size_x=96, f_unroll=1, write_sums=1, tile_size_x=2, quadratic_difference_linear took: 55.8448257446 ms.
block_size_x=96, f_unroll=1, write_sums=1, tile_size_x=4, quadratic_difference_linear took: 54.4983177185 ms.
block_size_x=96, f_unroll=1, write_sums=1, tile_size_x=8, quadratic_difference_linear took: 102.398880005 ms.
block_size_x=96, f_unroll=1, write_sums=1, tile_size_x=16, quadratic_difference_linear took: 132.643707275 ms.
