nohup: ignoring input
4500000
(4500000, 1500)
('hits ', 14321674, 14321674)
block_size_x=32, f_unroll=12, read_only=0, tile_size_x=1, use_if=1, quadratic_difference_linear took: 200.763269043 ms.
block_size_x=32, f_unroll=12, read_only=0, tile_size_x=2, use_if=1, quadratic_difference_linear took: 154.569689941 ms.
block_size_x=32, f_unroll=12, read_only=0, tile_size_x=4, use_if=1, quadratic_difference_linear took: 220.183105469 ms.
block_size_x=32, f_unroll=12, read_only=0, tile_size_x=8, use_if=1, quadratic_difference_linear took: 197.944882202 ms.
block_size_x=32, f_unroll=12, read_only=0, tile_size_x=16, use_if=1, quadratic_difference_linear took: 278.228167725 ms.
block_size_x=32, f_unroll=12, read_only=1, tile_size_x=1, use_if=1, quadratic_difference_linear took: 200.819888306 ms.
block_size_x=32, f_unroll=12, read_only=1, tile_size_x=2, use_if=1, quadratic_difference_linear took: 154.576486206 ms.
block_size_x=32, f_unroll=12, read_only=1, tile_size_x=4, use_if=1, quadratic_difference_linear took: 220.146032715 ms.
block_size_x=32, f_unroll=12, read_only=1, tile_size_x=8, use_if=1, quadratic_difference_linear took: 199.906661987 ms.
block_size_x=32, f_unroll=12, read_only=1, tile_size_x=16, use_if=1, quadratic_difference_linear took: 274.604193115 ms.
block_size_x=32, f_unroll=15, read_only=0, tile_size_x=1, use_if=1, quadratic_difference_linear took: 200.764498901 ms.
block_size_x=32, f_unroll=15, read_only=0, tile_size_x=2, use_if=1, quadratic_difference_linear took: 169.547570801 ms.
block_size_x=32, f_unroll=15, read_only=0, tile_size_x=4, use_if=1, quadratic_difference_linear took: 220.189279175 ms.
block_size_x=32, f_unroll=15, read_only=0, tile_size_x=8, use_if=1, quadratic_difference_linear took: 197.320391846 ms.
block_size_x=32, f_unroll=15, read_only=0, tile_size_x=16, use_if=1, quadratic_difference_linear took: 341.975 ms.
block_size_x=32, f_unroll=15, read_only=1, tile_size_x=1, use_if=1, quadratic_difference_linear took: 200.850018311 ms.
block_size_x=32, f_unroll=15, read_only=1, tile_size_x=2, use_if=1, quadratic_difference_linear took: 169.704977417 ms.
block_size_x=32, f_unroll=15, read_only=1, tile_size_x=4, use_if=1, quadratic_difference_linear took: 220.490994263 ms.
block_size_x=32, f_unroll=15, read_only=1, tile_size_x=8, use_if=1, quadratic_difference_linear took: 198.827871704 ms.
block_size_x=32, f_unroll=15, read_only=1, tile_size_x=16, use_if=1, quadratic_difference_linear took: 343.650622559 ms.
block_size_x=64, f_unroll=1, read_only=0, tile_size_x=1, use_if=1, quadratic_difference_linear took: 136.242532349 ms.
block_size_x=64, f_unroll=1, read_only=0, tile_size_x=2, use_if=1, quadratic_difference_linear took: 62.9322692871 ms.
block_size_x=64, f_unroll=1, read_only=0, tile_size_x=4, use_if=1, quadratic_difference_linear took: 99.7133255005 ms.
block_size_x=64, f_unroll=1, read_only=0, tile_size_x=8, use_if=1, quadratic_difference_linear took: 102.400914001 ms.
block_size_x=64, f_unroll=1, read_only=0, tile_size_x=16, use_if=1, quadratic_difference_linear took: 184.736300659 ms.
block_size_x=64, f_unroll=1, read_only=1, tile_size_x=1, use_if=1, quadratic_difference_linear took: 136.21109314 ms.
block_size_x=64, f_unroll=1, read_only=1, tile_size_x=2, use_if=1, quadratic_difference_linear took: 62.9271362305 ms.
block_size_x=64, f_unroll=1, read_only=1, tile_size_x=4, use_if=1, quadratic_difference_linear took: 99.7015945435 ms.
block_size_x=64, f_unroll=1, read_only=1, tile_size_x=8, use_if=1, quadratic_difference_linear took: 102.376565552 ms.
block_size_x=64, f_unroll=1, read_only=1, tile_size_x=16, use_if=1, quadratic_difference_linear took: 184.700619507 ms.
block_size_x=64, f_unroll=2, read_only=0, tile_size_x=1, use_if=1, quadratic_difference_linear took: 102.321240234 ms.
block_size_x=64, f_unroll=2, read_only=0, tile_size_x=2, use_if=1, quadratic_difference_linear took: 62.9432899475 ms.
block_size_x=64, f_unroll=2, read_only=0, tile_size_x=4, use_if=1, quadratic_difference_linear took: 114.424024963 ms.
block_size_x=64, f_unroll=2, read_only=0, tile_size_x=8, use_if=1, quadratic_difference_linear took: 100.445906067 ms.
block_size_x=64, f_unroll=2, read_only=0, tile_size_x=16, use_if=1, quadratic_difference_linear took: 187.039273071 ms.
block_size_x=64, f_unroll=2, read_only=1, tile_size_x=1, use_if=1, quadratic_difference_linear took: 102.340530396 ms.
block_size_x=64, f_unroll=2, read_only=1, tile_size_x=2, use_if=1, quadratic_difference_linear took: 62.9554237366 ms.
block_size_x=64, f_unroll=2, read_only=1, tile_size_x=4, use_if=1, quadratic_difference_linear took: 109.314277649 ms.
block_size_x=64, f_unroll=2, read_only=1, tile_size_x=8, use_if=1, quadratic_difference_linear took: 100.447512817 ms.
block_size_x=64, f_unroll=2, read_only=1, tile_size_x=16, use_if=1, quadratic_difference_linear took: 187.088705444 ms.
block_size_x=64, f_unroll=3, read_only=0, tile_size_x=1, use_if=1, quadratic_difference_linear took: 74.3225219727 ms.
block_size_x=64, f_unroll=3, read_only=0, tile_size_x=2, use_if=1, quadratic_difference_linear took: 66.7896499634 ms.
block_size_x=64, f_unroll=3, read_only=0, tile_size_x=4, use_if=1, quadratic_difference_linear took: 109.181373596 ms.
block_size_x=64, f_unroll=3, read_only=0, tile_size_x=8, use_if=1, quadratic_difference_linear took: 100.351193237 ms.
block_size_x=64, f_unroll=3, read_only=0, tile_size_x=16, use_if=1, quadratic_difference_linear took: 190.276992798 ms.
block_size_x=64, f_unroll=3, read_only=1, tile_size_x=1, use_if=1, quadratic_difference_linear took: 79.236114502 ms.
